Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ
75,25,41,131.985,132.583,,,44.84999999999886,0.0,0.004530817895972872,2012-11-30 16:00:00,2012-12-05 08:00:00,4 days 16:00:00,,,
75,44,57,132.651632644,132.36,,,-21.872448299998126,0.0,-0.002198485146297724,2012-12-05 20:00:00,2012-12-10 00:00:00,4 days 04:00:00,,131.958,
75,70,118,133.007,136.389,,,253.65000000000038,0.0,0.025427233153142437,2012-12-12 04:00:00,2012-12-24 04:00:00,12 days 00:00:00,,,
74,124,173,137.952,140.048,,,155.10400000000027,0.0,0.015193690559035078,2012-12-26 16:00:00,2013-01-08 20:00:00,13 days 04:00:00,,,
72,186,204,143.72,142.628,,,-78.62400000000093,0.0,-0.007598107431116108,2013-01-11 00:00:00,2013-01-16 00:00:00,5 days 00:00:00,,,
-73,230,246,141.555,142.755,,,-87.59999999999917,0.0,-0.008477270318957286,2013-01-22 08:00:00,2013-01-25 00:00:00,2 days 16:00:00,,,
71,251,262,143.986,142.813,,,-83.28300000000013,0.0,-0.00814662536635502,2013-01-25 20:00:00,2013-01-29 16:00:00,3 days 20:00:00,,,
70,273,313,144.175644168,146.126,,,136.52490824000097,0.0,0.013527637370757128,2013-01-31 12:00:00,2013-02-11 04:00:00,10 days 16:00:00,,143.411,
70,317,318,146.952646945,147.455,,,35.16471385000102,0.0,0.00341846891119979,2013-02-11 20:00:00,2013-02-12 00:00:00,0 days 04:00:00,,,
-71,330,346,144.825,145.424,,,-42.529000000001275,0.0,-0.004136026238563906,2013-02-14 00:00:00,2013-02-18 16:00:00,4 days 16:00:00,,,
-72,359,398,142.78635720600002,140.349,,,175.48971883200215,0.0,0.017069958598941115,2013-02-20 20:00:00,2013-03-01 08:00:00,8 days 12:00:00,,,
74,412,466,141.181,143.743,,,189.58799999999877,0.0,0.01814691778638755,2013-03-05 16:00:00,2013-03-18 16:00:00,13 days 00:00:00,,,
73,477,478,144.636644629,144.907,,,19.735942083001618,0.0,0.0018692038362304597,2013-03-20 12:00:00,2013-03-20 16:00:00,0 days 04:00:00,,,
-74,496,497,143.01235698000002,142.756,,,18.97041652000155,0.0,0.0017925512551050238,2013-03-25 16:00:00,2013-03-25 20:00:00,0 days 04:00:00,,,
-75,507,524,142.49935749300002,142.572,,,-5.448188024998757,0.0,-0.0005097742774282654,2013-03-27 12:00:00,2013-04-01 08:00:00,4 days 20:00:00,,,
-75,527,546,141.799358193,146.747,,,-371.0731355250019,0.0,-0.034891849089090377,2013-04-01 20:00:00,2013-04-05 00:00:00,3 days 04:00:00,,,
68,557,585,151.790651783,150.027,,,-119.92832124400002,0.0,-0.01161897496508102,2013-04-08 20:00:00,2013-04-15 12:00:00,6 days 16:00:00,,150.61,149.453
67,626,644,152.025652018,151.455,,,-38.23368520599837,0.0,-0.003753656112801318,2013-04-24 08:00:00,2013-04-29 08:00:00,5 days 00:00:00,,,
-67,650,651,151.326348666,151.137,,,12.686360622000052,0.0,0.0012512603896756014,2013-04-30 08:00:00,2013-04-30 12:00:00,0 days 04:00:00,,,
-67,654,667,151.27,152.249,,,-65.592999999999,0.0,-0.006471871488067604,2013-05-01 00:00:00,2013-05-03 04:00:00,2 days 04:00:00,,150.746,
65,670,688,154.318,153.431,,,-57.65500000000003,0.0,-0.005747871278787953,2013-05-03 16:00:00,2013-05-08 16:00:00,5 days 00:00:00,,,
