Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ
122,49,50,81.434581427,81.532,,,11.885065905999852,0.0,0.0011962801465041917,2012-11-20 13:00:00,2012-11-20 14:00:00,0 days 01:00:00,,,
122,60,104,81.761581754,82.428,,,81.30302601199904,0.0,0.008150750409955165,2012-11-21 00:00:00,2012-11-22 20:00:00,1 days 20:00:00,,,
-122,117,128,82.16541782700001,82.419,,,-30.937025105998032,0.0,-0.003086239682172698,2012-11-23 09:00:00,2012-11-23 20:00:00,0 days 11:00:00,,,
-122,156,166,81.91341807900001,82.217,,,-37.03699436199861,0.0,-0.003706131768389964,2012-11-27 00:00:00,2012-11-27 10:00:00,0 days 10:00:00,,,
-122,190,206,81.705418287,82.028,,,-39.35496898600064,0.0,-0.003948106744486646,2012-11-28 10:00:00,2012-11-29 02:00:00,0 days 16:00:00,,,
121,230,231,82.172582165,82.449,,,33.44655803500045,0.0,0.0033638694040911687,2012-11-30 02:00:00,2012-11-30 03:00:00,0 days 01:00:00,,,82.041
121,236,253,82.54558253799999,82.323,,,-26.932487097999697,0.0,-0.002696480310106608,2012-11-30 08:00:00,2012-12-03 02:00:00,2 days 18:00:00,,,
-121,270,306,82.17541781700001,82.262,,,-10.476444142998815,0.0,-0.0010536263191602835,2012-12-03 19:00:00,2012-12-05 07:00:00,1 days 12:00:00,,,
121,316,340,82.326582319,82.342,,,1.8655394010002908,0.0,0.00018727463919576692,2012-12-05 17:00:00,2012-12-06 17:00:00,1 days 00:00:00,,82.049,
120,361,362,82.56358255599999,82.668,,,12.530093280002461,0.0,0.0012646912932732235,2012-12-07 14:00:00,2012-12-07 15:00:00,0 days 01:00:00,,,
121,423,486,82.574582567,83.44,,,104.71550939300056,0.0,0.010480433640676523,2012-12-12 04:00:00,2012-12-14 19:00:00,2 days 15:00:00,,,
120,533,534,84.07758406999999,84.11,,,3.8899116000015965,0.0,0.00038554782893163164,2012-12-18 18:00:00,2012-12-18 19:00:00,0 days 01:00:00,,,
119,538,566,84.26758425999999,84.204,,,-7.566526939999875,0.0,-0.0007545518310316801,2012-12-18 23:00:00,2012-12-20 03:00:00,1 days 04:00:00,,,
