metric,strict,classic,delta
Return %,39.84185021489,22.48632912258956,-17.355521092300442
Buy&Hold %,15.559356825179616,15.559356825179616,0.0
# Trades,582,859,277.0
Win Rate %,42.955326460481096,42.9569266589057,0.0016001984246045708
Profit Factor,1.2849467031181918,1.1499898872807273,-0.13495681583746455
Expectancy %,0.09396119759306866,0.04186620262346788,-0.05209499496960078
Max Drawdown %,-17.487489092168186,-19.465634646252227,-1.9781455540840405
Avg Trade %,0.0847907817727922,0.034430808446606065,-0.050359973326186136
Avg Duration,4 days 12:00:00,3 days 07:00:00,
Sharpe,0.37825952523279066,0.2244134967319156,-0.15384602850087506
