Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Tag,Duration
77,33,50,129.385,129.084,-23.176999999999055,-0.0023263902307066875,2012-11-19 00:00:00,2012-11-19 17:00:00,,0 days 17:00:00
77,64,68,129.38020438,129.275,-8.100737260000272,-0.0008131412413835415,2012-11-20 07:00:00,2012-11-20 11:00:00,,0 days 04:00:00
76,81,125,130.16720516700002,131.314,87.15640730799794,0.008810167134868374,2012-11-21 00:00:00,2012-11-22 20:00:00,,1 days 20:00:00
-76,138,148,131.011793988,132.175,-88.40365691200134,-0.008878635858589723,2012-11-23 09:00:00,2012-11-23 19:00:00,,0 days 10:00:00
75,153,164,132.19620719600002,131.392,-60.31553970000161,-0.006083436227543704,2012-11-26 00:00:00,2012-11-26 11:00:00,,0 days 11:00:00
-75,177,179,131.391793608,131.384,0.5845206000010705,5.931578971563045e-05,2012-11-27 00:00:00,2012-11-27 02:00:00,,0 days 02:00:00
-75,214,226,130.774794225,131.523,-56.11543312500018,-0.005721330164838223,2012-11-28 13:00:00,2012-11-29 01:00:00,,0 days 12:00:00
74,231,273,131.611206611,132.107,36.688710785999945,0.0037671061740616185,2012-11-29 06:00:00,2012-12-03 01:00:00,,3 days 19:00:00
74,337,339,132.644207644,132.63,-1.051365656000712,-0.00010711092668391764,2012-12-05 17:00:00,2012-12-05 19:00:00,,0 days 02:00:00
74,347,364,132.714207714,132.112,-44.56337083600016,-0.004537628068411181,2012-12-06 03:00:00,2012-12-06 20:00:00,,0 days 17:00:00
-74,377,378,132.03479296499998,132.112,-5.7133205900011035,-0.0005847476507232496,2012-12-07 09:00:00,2012-12-07 10:00:00,,0 days 01:00:00
-74,382,394,131.757,132.21,-33.52200000000022,-0.0034381474988045557,2012-12-07 14:00:00,2012-12-10 02:00:00,,2 days 12:00:00
74,417,506,132.434207434,134.766,172.55264988399927,0.017607177263186058,2012-12-11 01:00:00,2012-12-14 18:00:00,,3 days 17:00:00
73,538,554,135.992210992,136.554,41.01059758400038,0.004131038122713093,2012-12-18 02:00:00,2012-12-18 18:00:00,,0 days 16:00:00
73,555,586,136.685,136.922,17.30099999999962,0.0017339137432783591,2012-12-18 19:00:00,2012-12-20 02:00:00,,1 days 07:00:00
